,Location,Minute Delay
581,QUEEN AND RIVER,12.0
582,SPADINA AND KING,20.0
583,NEVILLE PARK LOOP,20.0
584,QUEENSWAY AND SUNNYSID,12.0
585,MAIN STREET STATION,20.0
586,BROADVIEW STATION,38.0
587,BATHURST AND QUEEN (NO,17.0
588,BATHURST AND KING,16.0
589,QUEEN AND BATHURST,8.0
590,NEVILLE PARK LOOP,0.0
591,RONCESVALLES AND BOUST,6.0
592,RUSSELL YARD,20.0
593,QUEEN AND LESLIE,47.0
594,PARLIAMENT AND GERRARD,8.0
595,QUEEN AND CONNAUGHT,22.0
596,MOUNT DENNIS DIVISION,16.0
597,EXHIBITION LOOP,16.0
598,PARKLAWN AND LAKESHORE,12.0
599,QUEEN AND RONCESVALLES,12.0
600,DUNDAS AND BLOOR,18.0
601,HOWARD PARK AND PARKSI,23.0
602,LONG BRANCH LOOP,12.0
603,SPADINA AND LAKESHORE,10.0
604,QUEEN AND JARVIS,12.0
605,RUSSELL YARD,12.0
606,QUEENS QUAY AND SPADIN,16.0
607,RUSSELL YARD,18.0
608,QUEEN AND SPADINA,0.0
609,COLLEGE AND SPADINA,33.0
610,QUEEN AND RIVER,12.0
611,LESLIE AND EASTERN AV,0.0
612,DUFFERIN AND KING (NOR,16.0
613,GERRARD AND PARLIAMENT,16.0
614,COLLEGE AND AUGUSTA,54.0
615,PARLIAMENT AND GERRARD,16.0
616,GERRARD AND PARLIAMENT,10.0
617,DUNDAS WEST AND EDNA,6.0
618,632 GERRARD STREET EAS,40.0
619,QUEEN AND CONNAUGHT,12.0
620,GERRARD AND BROADVIEW,8.0
621,QUEEN AND CONNAUGHT,14.0
622,BLOOR AND DUNDAS WEST,15.0
623,KING AND BATHURST,19.0
624,DUNDAS AND DENNISON,19.0
625,MAIN STREET STATION,10.0
626,SPRINGHURST LOOP,12.0
627,HOWARD PARK AND RONCES,14.0
628,KINGSTON ROAD LOOP,20.0
629,SPADINA STATION,10.0
630,LONG BRANCH LOOP,12.0
631,DUNDAS AND BLOOR,18.0
632,UNION STATION,18.0
633,SPADINA AND COLLEGE,10.0
634,NEVILLE PARK LOOP,20.0
635,QUEEN AND BAY,16.0
636,QUEEN AND BAY,16.0
637,DUNDAS AND YONGE,17.0
638,MCCAUL LOOP,20.0
639,COLLEGE AND MCCAUL,28.0
640,SPADINA AND BLOOR,14.0
641,QUEEN AND MASSEY,12.0
642,QUEEN AND ONTARIO,16.0
643,BROADVIEW STATION,20.0
644,LAKESHORE AND KIPLING,12.0
645,QUEEN AND MASSEY,12.0
646,RUSSELL YARD,0.0
647,MAIN STREET STATION,0.0
648,KING AND SACKVILLE,12.0
649,CONNAUGHT AND QUEEN,0.0
650,JARVIS AND RICHMOND,12.0
651,THE QUEENSWAY AND WIND,14.0
652,ST CLAIR AND YONGE,10.0
653,BATHURST STATION,14.0
654,HIGH PARK LOOP,16.0
655,GERRARD AND PARLIAMENT,10.0
656,LONG BRANCH LOOP,12.0
657,QUEEN AND DUFFERIN,12.0
658,DUNDAS AND BATHURST,16.0
659,QUEEN'S QUAY AND REES,20.0
660,LONG BRANCH LOOP,12.0
661,RUSSELL YARD,0.0
662,DUNDAS WEST STATION,16.0
663,KING AND ST LAWRENCE,9.0
664,SPADINA STATION,14.0
665,QUEEN AND SPADINA,12.0
666,DUNDAS AND SHERBOURNE,20.0
667,GERRARD AND COXWELL,50.0
668,QUEEN AND UNIVERSITY,40.0
669,DUNDAS WEST STATION,20.0
670,LONG BRANCH LOOP,12.0
671,RIVER AND KING,9.0
672,GERRARD AND WOODFIELD,20.0
673,DUNDAS WEST STATION,20.0
674,CHURCH AND QUEEN,40.0
675,LONG BRANCH LOOP,16.0
676,QUEEN W AND GLADSTONE,14.0
677,KING AND DUFFERIN,16.0
678,QUEEN AND DUFFERIN,14.0
679,HOWARD PARK AND RONCES,10.0
680,SPRINGHURT LOOP,27.0
681,LAKE SHORE AND TWENTY,12.0
682,QUEEN AND YONGE,12.0
683,DUNDAS AND LANSDOWNE,16.0
684,MCCAUL AND DUNDAS,14.0
685,DUNDAS WEST STATION,15.0
686,BATHURST STATION,16.0
687,DUNDAS AND LANSDOWNE,16.0
688,QUEEN AND SOHO,14.0
689,SPADINA LOOP,20.0
690,LESLIE AND COMMISSIONE,0.0
691,KING AND RONCESVALLES,13.0
692,DUNDAS AND LANSDOWNE,20.0
693,DUNDAS WEST STATION,20.0
694,SPADINA STATION - SPAR,18.0
695,KING AND SUDBURY,15.0
696,BROADVIEW STATION,20.0
697,KING AND DUFFERIN,20.0
698,SPADINA AND QUEEN,30.0
699,GERRARD AND PARLIAMENT,20.0
700,COLLEGE AND OSSINGTON,18.0
701,KING AND SPADINA,15.0
702,SPADINA AND SUSSEX,93.0
703,QUEEN AND BERKELEY,15.0
704,PARLIAMENT AND GERRARD,18.0
705,KING AND SUDBURY,14.0
706,SPADINA AND KING,6.0
707,SPADINA AND KING,7.0
